x1,y1,z1,x2,y2,z2
-1.14404,3.04284,-0.636041,-1.36205,0.332418,2.2139
-0.893683,3.12773,-0.647188,-1.09733,0.338869,2.31415
-0.574581,3.30376,-0.647235,-0.798298,0.344311,2.48842
-0.267372,3.3718,-0.65067,-0.499123,0.34926,2.56622
0.115396,3.43928,-0.654751,-0.114322,0.361433,2.64343
0.47637,3.35654,-0.665696,0.243585,0.373306,2.56968
0.826788,3.4319,-0.673642,0.594495,0.387658,2.65512
1.14878,3.39102,-0.691312,0.918895,0.399549,2.62065
1.40248,3.35667,-0.691251,1.16971,0.410082,2.5891
1.50137,3.7636,-0.709656,1.25637,0.424461,2.99992
1.21351,3.81957,-0.700784,0.972989,0.414221,3.05086
0.878322,3.87166,-0.685797,0.648001,0.402952,3.09462
0.608037,3.9092,-0.67801,0.355252,0.390576,3.12528
0.280902,3.93764,-0.67351,0.0327165,0.378844,3.14517
-0.0240156,3.92567,-0.66106,-0.271777,0.367712,3.12839
-0.337716,3.92534,-0.657228,-0.579138,0.359301,3.11999
-0.61133,3.91455,-0.652472,-0.859507,0.350308,3.10192
-0.996668,3.82821,-0.645171,-1.23186,0.338389,3.00132
-1.30784,3.78163,-0.631016,-1.54283,0.328544,2.94833
-1.60996,3.6459,-0.620775,-1.84249,0.318578,2.8085
