x1,y1,z1,x2,y2,z2
-1.37095,-2.41977,0.406463,1.16256,0.413148,2.39858
-1.11942,-2.52745,0.457586,0.897438,0.403687,2.51299
-0.840486,-2.56622,0.481944,0.609463,0.394013,2.54922
-0.538328,-2.61859,0.503637,0.32975,0.384324,2.60102
-0.293613,-2.66281,0.531143,0.0773234,0.377231,2.64254
-0.0307375,-2.65515,0.53009,-0.181609,0.368787,2.63315
0.276946,-2.66457,0.550199,-0.484567,0.359978,2.64298
0.567214,-2.64714,0.538918,-0.765742,0.351567,2.61408
0.809831,-2.61026,0.530477,-1.00413,0.342951,2.56989
1.04771,-2.56912,0.520482,-1.24464,0.335558,2.52387
1.10415,-2.85043,0.627416,-1.29947,0.336097,2.82549
0.731881,-2.90731,0.655224,-0.947542,0.347325,2.8945
0.443302,-2.9616,0.667355,-0.657872,0.358468,2.95663
0.130492,-2.99723,0.675988,-0.34615,0.368335,3.00198
-0.225634,-3.0225,0.673769,0.0018945,0.38071,3.03555
-0.562334,-3.00587,0.660476,0.339241,0.392867,3.02054
-0.894702,-2.98478,0.636917,0.676126,0.406404,3.00053
-1.06711,-2.99364,0.636194,0.850482,0.413359,3.0125
-1.25612,-2.97735,0.623073,1.04301,0.42003,2.99389
-1.49684,-2.95957,0.609293,1.28608,0.426618,2.9739
-1.74705,-2.91234,0.584655,1.52605,0.43475,2.92621
-1.91468,-2.86591,0.559437,1.69667,0.442437,2.8808
-2.10816,-3.28026,0.711293,1.88846,0.458024,3.32785
-1.82443,-3.4613,0.788215,1.59242,0.447317,3.52028
-1.62121,-3.53195,0.82194,1.38642,0.440175,3.597
-1.32594,-3.63733,0.871246,1.10046,0.430335,3.70334
-1.01471,-3.70828,0.90706,0.777795,0.42041,3.77476
0.345944,-3.88401,0.989631,-0.550204,0.373874,3.94706
0.707623,-3.85791,0.98251,-0.908032,0.366221,3.91221
1.6612,-3.85971,0.999798,-1.8742,0.35341,3.90047
1.94889,-3.82502,1.00192,-2.16491,0.346222,3.86106
2.20148,-3.82192,1.00426,-2.42003,0.33886,3.85588
2.21268,-4.38503,1.20778,-2.43847,0.36003,4.45604
-2.70911,-4.81645,1.26861,2.45289,0.509412,4.98768
-3.0125,-4.74071,1.22478,2.7729,0.5253,4.90972
-3.40405,-4.60269,1.1575,3.1688,0.544352,4.77157
-3.51618,-5.37037,1.44378,3.25451,0.553911,5.55926
1.22484,-3.02478,0.708395,-1.42785,0.336257,3.01928
-0.0409675,-2.24888,0.376694,-0.175177,0.360397,2.20344
-0.455777,-2.31228,0.39059,0.251827,0.372904,2.2824
-0.035975,-2.88024,0.62831,-0.177392,0.364521,2.87744
1.17458,-2.27249,0.414631,-1.36252,0.332567,2.20845
0.907463,-2.38449,0.444824,-1.10109,0.337958,2.32486
0.58938,-2.5257,0.50679,-0.798298,0.344311,2.48842
0.294176,-2.59373,0.529702,-0.501908,0.349503,2.5656
-0.108774,-2.65828,0.541519,-0.111543,0.361884,2.64236
-0.46305,-2.58789,0.503556,0.243564,0.373105,2.56944
-0.812799,-2.65995,0.527591,0.592499,0.386903,2.65476
-1.15187,-2.62348,0.492718,0.925326,0.399969,2.6185
-1.38851,-2.59601,0.482585,1.1703,0.410015,2.58973
-1.48364,-2.98634,0.613475,1.25618,0.424668,2.99905
-1.20053,-3.0317,0.64687,0.979406,0.414691,3.05264
-0.898261,-3.07933,0.676361,0.676164,0.403619,3.09789
-0.586351,-3.1087,0.702293,0.365032,0.39235,3.12759
-0.242721,-3.12876,0.716835,0.0271557,0.378942,3.14414
0.0591228,-3.11754,0.715876,-0.272918,0.367505,3.12728
0.364211,-3.1112,0.729523,-0.579138,0.359301,3.11999
0.654293,-3.09738,0.727599,-0.860814,0.349794,3.10079
1.01825,-3.01916,0.70705,-1.23046,0.337441,3.00692
1.33892,-2.96591,0.695481,-1.54301,0.327945,2.95002
0.906872,-2.70684,0.577687,-1.11847,0.341098,2.67337
0.549957,-2.74151,0.583695,-0.765218,0.346479,2.71671
0.26328,-2.73989,0.585328,-0.476592,0.353654,2.72409
-0.474019,-2.8009,0.58901,0.253483,0.377112,2.797
-0.705014,-2.80185,0.581039,0.487412,0.386101,2.80402
