x1,y1,z1,x2,y2,z2
-2.13491,-0.656329,-0.6684,0.559858,0.418265,1.54151
-2.08989,-0.863477,-0.685285,0.350647,0.412679,1.60458
-1.9516,-1.07191,-0.672858,0.114876,0.401225,1.58442
-1.80385,-1.37851,-0.666663,-0.225701,0.387376,1.61183
-1.84833,-2.00141,-0.667803,-0.75326,0.383453,1.94933
-2.07133,-1.80684,-0.668952,-0.476379,0.396455,2.05293
-2.28196,-1.59175,-0.670263,-0.187133,0.410169,2.13018
-2.49745,-1.27867,-0.680192,0.195064,0.427799,2.16518
-2.65529,-1.07084,-0.681432,0.45459,0.437762,2.19542
-2.8047,-0.816794,-0.67911,0.750702,0.447587,2.20014
-2.91998,-0.555831,-0.68058,1.02029,0.455821,2.17526
-3.00667,-0.419674,-0.679837,1.18754,0.460328,2.18155
-3.30923,-0.466102,-0.682312,1.29025,0.471326,2.47012
-3.28565,-0.763703,-0.682706,1.02233,0.467325,2.59292
-3.21909,-1.01142,-0.689385,0.76821,0.464092,2.6619
-3.11535,-1.29539,-0.686749,0.475904,0.456222,2.70991
-2.98484,-1.56536,-0.692959,0.177422,0.448871,2.73174
-2.80439,-1.84212,-0.693642,-0.148199,0.437332,2.71299
-2.65579,-2.11404,-0.689302,-0.47603,0.42874,2.71549
-2.41802,-2.3815,-0.688182,-0.804661,0.42002,2.63747
-2.19628,-2.64373,-0.689372,-1.14249,0.410001,2.57037
-2.00345,-2.85279,-0.691571,-1.42358,0.40164,2.50587
-2.15044,-3.25507,-0.715118,-1.69752,0.423456,2.83499
-2.5661,-2.94373,-0.708767,-1.22487,0.434029,3.04063
-2.79448,-2.74255,-0.705543,-0.937078,0.443816,3.14202
-3.02889,-2.52944,-0.703213,-0.638059,0.45207,3.24438
-3.20027,-2.31671,-0.699486,-0.366966,0.458376,3.29196
-3.38549,-2.05406,-0.69967,-0.0516437,0.467297,3.32427
-3.51643,-1.82846,-0.702742,0.20593,0.473905,3.32561
-3.6565,-1.57011,-0.699367,0.501719,0.481323,3.32445
-3.78044,-1.26542,-0.694233,0.83162,0.487622,3.27612
-3.82184,-0.942643,-0.69531,1.13971,0.489271,3.15577
-3.86064,-0.643363,-0.701569,1.39845,0.492074,3.0471
-3.95849,-0.405816,-0.692185,1.66795,0.496402,3.01706
-3.96958,-0.142347,-0.687049,1.91045,0.50086,2.90105
-4.35407,-0.283809,-0.686294,1.97093,0.513988,3.31583
-4.41877,-0.621029,-0.694965,1.70628,0.518761,3.52705
-4.39264,-1.04102,-0.70653,1.31979,0.521419,3.7219
-4.34922,-1.39577,-0.71127,0.985659,0.518226,3.86016
-4.30799,-1.7651,-0.716821,0.651708,0.51923,4.00416
-4.18352,-2.147,-0.723858,0.251193,0.511301,4.07875
-4.12041,-2.50357,-0.728527,-0.0759985,0.507663,4.204
-3.91394,-2.78965,-0.727113,-0.429199,0.49826,4.15344
-3.72178,-3.07012,-0.731215,-0.77339,0.48965,4.12235
-3.52725,-3.37143,-0.731213,-1.13311,0.483497,4.09645
-3.3092,-3.64735,-0.739027,-1.47374,0.47907,4.03504
-3.05328,-3.90928,-0.750669,-1.83169,0.476713,3.93262
-2.63238,-4.15516,-0.76256,-2.25403,0.473898,3.69345
-1.96219,-3.01108,-0.692744,-1.57697,0.406572,2.55354
-2.13575,-2.52974,-0.692749,-1.07879,0.406078,2.45665
-2.33511,-1.95843,-0.672486,-0.475537,0.410471,2.35358
-2.42231,-1.53828,-0.669087,-0.0662795,0.418634,2.22134
-2.45928,-1.11175,-0.671972,0.319939,0.428617,2.04428
-2.50519,-0.73835,-0.676367,0.666458,0.43656,1.8969
-2.49577,-0.44096,-0.675592,0.921587,0.438355,1.74566
