x1,y1,z1,x2,y2,z2
2.29736,0.804425,0.727972,-0.706046,-0.784021,2.20647
1.88935,1.38953,0.0214307,-1.28073,-0.0626963,1.80968
2.16694,0.894945,-0.54844,-0.786168,0.496029,2.1091
2.57495,0.309844,0.158102,-0.211486,-0.225296,2.50589
2.28118,0.827496,0.77593,-0.725893,-0.826915,2.20308
1.93355,1.43408,0.0553547,-1.33048,-0.103086,1.85876
2.17398,0.90823,-0.503297,-0.805558,0.453227,2.10652
2.52161,0.301648,0.217278,-0.200969,-0.270602,2.45085
2.27472,0.822209,0.773858,-0.719362,-0.824241,2.19739
1.93274,1.43042,0.0519564,-1.32114,-0.0973089,1.85467
2.17091,0.902468,-0.505678,-0.794503,0.456447,2.10453
2.51289,0.294255,0.216223,-0.19273,-0.270485,2.44724
2.73917,0.143089,0.77588,-0.0386682,-0.836815,2.67882
2.69863,0.825739,0.0407871,-0.717716,-0.0982432,2.64112
2.58179,0.239649,-0.497046,-0.128941,0.437263,2.52713
2.62234,-0.443001,0.238047,0.550107,-0.301309,2.56483
2.72108,0.130401,0.777231,-0.03595,-0.835487,2.65783
2.71754,0.825832,0.0530916,-0.720973,-0.101486,2.6566
2.6014,0.25174,-0.497674,-0.13834,0.442089,2.54945
2.60494,-0.443692,0.226465,0.546683,-0.291912,2.55068
2.72715,-0.83195,0.772748,0.939741,-0.834775,2.65785
3.1255,-0.249035,0.0589239,0.358148,-0.11775,3.05236
2.67923,-0.623018,-0.495512,0.735185,0.434017,2.60536
2.28088,-1.20593,0.218313,1.31678,-0.283008,2.21085
2.72868,-0.830024,0.774246,0.940085,-0.834622,2.65757
3.11888,-0.248923,0.0544704,0.356092,-0.11714,3.04768
2.67323,-0.63055,-0.495229,0.7365,0.434241,2.60307
2.28302,-1.21165,0.224547,1.32049,-0.283241,2.21295
2.71411,-0.832774,0.770344,0.936074,-0.834428,2.64983
3.11547,-0.24511,0.062122,0.352718,-0.118254,3.04328
2.68893,-0.63089,-0.499711,0.745441,0.437127,2.61464
2.28757,-1.21855,0.208511,1.3288,-0.279047,2.22118
2.74193,-0.841095,0.771436,0.947156,-0.835115,2.67643
3.04216,-0.210521,0.0501513,0.315677,-0.112242,2.97089
2.6529,-0.651837,-0.497693,0.758738,0.433664,2.58089
2.35267,-1.28241,0.223591,1.39022,-0.289209,2.28644
2.74362,-0.840863,0.775666,0.947266,-0.83561,2.676
3.01265,-0.200442,0.0507538,0.306537,-0.111353,2.94606
2.65224,-0.667421,-0.495554,0.77019,0.434862,2.58124
2.38321,-1.30784,0.229358,1.41092,-0.289395,2.31118
2.7437,-0.840375,0.774194,0.94884,-0.83549,2.67743
3.00849,-0.198503,0.0490029,0.304469,-0.111226,2.93867
2.64843,-0.666483,-0.496679,0.769854,0.434094,2.57472
2.38364,-1.30835,0.228513,1.41422,-0.29017,2.31348
2.31489,0.655994,0.757362,-0.566153,-0.813363,2.24318
1.93665,1.25906,0.0493657,-1.15774,-0.0964568,1.86358
2.14373,0.725755,-0.515537,-0.619488,0.461083,2.07772
2.52198,0.122688,0.192459,-0.0279048,-0.255824,2.45731
2.34155,0.702362,0.756773,-0.588648,-0.813418,2.26015
1.9635,1.29185,0.0373307,-1.17863,-0.0933947,1.88399
2.15604,0.740685,-0.515448,-0.631571,0.460211,2.08563
2.5341,0.151202,0.203994,-0.0415837,-0.259812,2.46179
2.33272,0.696828,0.758259,-0.591734,-0.813613,2.25517
1.9479,1.28172,0.0386539,-1.17688,-0.091083,1.87627
2.16951,0.744253,-0.516711,-0.640162,0.46274,2.10349
2.55433,0.15936,0.202894,-0.0550155,-0.259789,2.48239
2.33777,0.702232,0.762117,-0.596411,-0.813237,2.26278
1.95065,1.28372,0.0409887,-1.17444,-0.0913707,1.87188
2.16025,0.738327,-0.51131,-0.634982,0.461441,2.09503
2.54738,0.156842,0.209818,-0.0569501,-0.260425,2.48593
2.34354,0.70855,0.759244,-0.603147,-0.812958,2.27226
1.96755,1.29977,0.0401457,-1.18871,-0.0918856,1.89123
2.13882,0.73927,-0.510235,-0.630901,0.457588,2.07383
2.5148,0.148046,0.208864,-0.0453387,-0.263484,2.45487
2.35127,0.707689,0.757948,-0.603209,-0.812004,2.27602
1.95762,1.29139,0.0421646,-1.18716,-0.093623,1.88751
2.13523,0.734378,-0.509746,-0.62927,0.456849,2.06682
2.52889,0.150677,0.206037,-0.0453155,-0.261533,2.45533
2.09806,1.04367,0.749527,-0.95398,-0.803975,2.004
1.57885,1.5406,0.0484514,-1.43592,-0.0822964,1.4991
1.876,1.05279,-0.517375,-0.942438,0.468255,1.81498
2.39521,0.555862,0.1837,-0.460494,-0.253424,2.31988
2.08982,1.05597,0.7518,-0.953907,-0.803958,2.00521
1.57343,1.53642,0.0372882,-1.43505,-0.0826778,1.49897
1.88339,1.04417,-0.517719,-0.942307,0.46817,1.8155
2.39977,0.563718,0.196793,-0.461169,-0.253111,2.32174
2.09285,1.05869,0.754062,-0.957163,-0.804025,2.00818
1.56321,1.52644,0.0408241,-1.42216,-0.0820401,1.48806
1.88384,1.042,-0.514982,-0.935473,0.467581,1.81588
2.41349,0.574247,0.198256,-0.470479,-0.254405,2.33601
2.0829,1.06751,0.757107,-0.957402,-0.804231,2.0083
1.55891,1.51931,0.0295617,-1.41383,-0.0812214,1.48204
1.89535,1.03273,-0.514919,-0.933012,0.467828,1.81935
2.41935,0.580934,0.212626,-0.476585,-0.255182,2.34561
2.08429,1.06526,0.757007,-0.95628,-0.804016,2.00867
1.55459,1.51388,0.0316322,-1.40899,-0.081599,1.4784
1.89512,1.03239,-0.514829,-0.930464,0.467813,1.81836
2.42483,0.583774,0.210546,-0.477755,-0.254604,2.34863
2.30864,0.666577,0.751575,-0.557886,-0.806676,2.23236
2.0552,1.31916,0.0319058,-1.21122,-0.0875342,1.97935
2.1186,0.73665,-0.518624,-0.634556,0.466238,2.0643
2.37204,0.084071,0.201046,0.0187736,-0.252903,2.3173
2.30727,0.664751,0.751944,-0.55406,-0.807054,2.22632
2.05307,1.31419,0.029705,-1.20808,-0.0874065,1.97657
2.12216,0.730797,-0.519199,-0.633269,0.46708,2.06903
2.37636,0.0813582,0.20304,0.0207554,-0.252567,2.31878
2.31397,0.667824,0.752446,-0.558067,-0.806292,2.23736
2.06124,1.32083,0.0329151,-1.21052,-0.0880508,1.97959
2.12391,0.738351,-0.517726,-0.634305,0.46609,2.06513
2.37665,0.0853451,0.201805,0.0181515,-0.252151,2.3229
2.4781,0.108909,0.753087,-0.00225268,-0.810604,2.40542
2.44629,0.80691,0.0321166,-0.701275,-0.0901974,2.38547
2.3054,0.235109,-0.515249,-0.130014,0.46052,2.25591
2.33721,-0.462892,0.205721,0.569009,-0.259886,2.27585
2.4725,0.102381,0.751294,0.000609032,-0.809982,2.40271
2.44843,0.809585,0.039045,-0.700875,-0.0921824,2.37625
2.31999,0.244216,-0.517981,-0.129488,0.462054,2.26331
2.34406,-0.462989,0.194268,0.571996,-0.255746,2.28977
2.46794,0.0916363,0.750535,0.00261859,-0.809143,2.39457
2.46951,0.810745,0.0498951,-0.704452,-0.0963541,2.39496
2.321,0.259495,-0.516218,-0.140939,0.462707,2.26721
2.31943,-0.459613,0.184421,0.566132,-0.250081,2.26682
2.46726,0.0964961,0.751582,0.00268338,-0.809502,2.39535
2.47459,0.811884,0.0471803,-0.704191,-0.096822,2.41612
2.31756,0.259467,-0.515487,-0.145247,0.461879,2.2683
2.31023,-0.455921,0.188915,0.561628,-0.250801,2.24753
2.55341,0.128645,0.759201,-0.0224869,-0.813644,2.49283
1.99549,0.529718,0.027163,-0.433507,-0.0830219,1.94032
2.42108,0.12269,-0.520207,-0.0236469,0.465853,2.36123
2.979,-0.278383,0.211831,0.387374,-0.264768,2.91374
2.44303,-0.503808,0.743786,0.60841,-0.80955,2.35921
2.52274,0.206244,0.0384566,-0.0958486,-0.101899,2.46535
2.37002,-0.341359,-0.530072,0.455616,0.467252,2.32981
2.29031,-1.05141,0.175257,1.15987,-0.240399,2.22367
2.42086,-0.504867,0.746727,0.605086,-0.808621,2.34298
2.51291,0.206204,0.0439314,-0.0961008,-0.0997698,2.46081
2.39875,-0.345723,-0.529446,0.46147,0.469536,2.35393
