x1,y1,z1,x2,y2,z2
6.25815,-1.58809,1.0544,1.42455,-1.39206,5.9818
6.51895,-1.15207,0.431273,1.01218,-0.781798,6.30422
6.16521,-1.84595,-0.202303,1.74016,-0.14615,6.03218
5.90441,-2.28197,0.420825,2.15253,-0.756408,5.70976
6.26228,-1.57854,1.0505,1.42141,-1.38822,5.97217
6.5207,-1.15001,0.42122,1.01242,-0.779519,6.30175
6.16284,-1.85046,-0.202735,1.73889,-0.143009,6.02768
5.90441,-2.27899,0.426547,2.14788,-0.751712,5.6981
6.2634,-1.57771,1.04697,1.42187,-1.38713,5.97556
6.52183,-1.14764,0.41874,1.01226,-0.778238,6.30402
6.16571,-1.84751,-0.20686,1.73922,-0.141875,6.03091
5.90727,-2.27758,0.421372,2.14882,-0.750767,5.70244
6.26432,-1.57638,1.04492,1.42253,-1.38703,5.97904
6.52512,-1.14861,0.416092,1.0116,-0.776721,6.30319
6.1664,-1.84807,-0.20849,1.74019,-0.141722,6.03126
5.9056,-2.27583,0.420333,2.15112,-0.752032,5.70711
6.26065,-1.58165,1.04731,1.42194,-1.38751,5.97617
6.52305,-1.14658,0.424193,1.01298,-0.77813,6.30454
6.16922,-1.84048,-0.209304,1.73691,-0.141356,6.02444
5.90683,-2.27556,0.413813,2.14587,-0.750734,5.69607
6.25784,-1.58718,1.04752,1.42327,-1.38631,5.9809
6.52323,-1.1448,0.430837,1.01236,-0.776397,6.30583
6.17353,-1.83177,-0.212444,1.73932,-0.140526,6.03158
5.90814,-2.27414,0.404234,2.15023,-0.750437,5.70665
6.26121,-1.58199,1.04191,1.42421,-1.38707,5.98554
6.52574,-1.1463,0.420125,1.01161,-0.775419,6.30502
6.17221,-1.83856,-0.215341,1.73885,-0.140653,6.02896
5.90768,-2.27425,0.406445,2.15145,-0.7523,5.70949
6.26018,-1.58436,1.04786,1.42286,-1.38652,5.97838
6.52235,-1.14725,0.426073,1.01273,-0.776402,6.30391
6.16903,-1.83948,-0.209535,1.7365,-0.139883,6.02281
5.90685,-2.27659,0.41225,2.14663,-0.749996,5.69728
6.2633,-1.57668,1.04777,1.42422,-1.38719,5.9852
6.52395,-1.14759,0.419793,1.01225,-0.776196,6.30673
6.16528,-1.84582,-0.206179,1.73851,-0.14073,6.0297
5.90463,-2.27492,0.421798,2.15047,-0.751728,5.70817
6.26373,-1.57584,1.05052,1.42401,-1.38685,5.98489
6.52518,-1.14297,0.42547,1.01263,-0.776129,6.30768
6.16893,-1.8383,-0.205094,1.73989,-0.140914,6.03271
5.90748,-2.27117,0.419953,2.15127,-0.751639,5.70992
6.26006,-1.58386,1.04775,1.42266,-1.38651,5.98168
6.52138,-1.14732,0.425203,1.01223,-0.775962,6.306
6.1683,-1.84073,-0.209243,1.7403,-0.14113,6.0323
5.90697,-2.27727,0.413301,2.15074,-0.751681,5.70797
6.2613,-1.58023,1.04549,1.42359,-1.38682,5.98192
6.52281,-1.14765,0.420268,1.01225,-0.77667,6.30585
6.16705,-1.84352,-0.209985,1.73948,-0.14097,6.03192
5.90554,-2.27609,0.415241,2.15082,-0.75112,5.70799
6.26302,-1.57705,1.0465,1.42448,-1.38677,5.98352
6.52397,-1.14853,0.418261,1.01315,-0.77656,6.30736
6.16572,-1.84741,-0.207239,1.73836,-0.140256,6.02949
5.90477,-2.27593,0.421005,2.14968,-0.750467,5.70566
6.25604,-1.58976,1.04761,1.42262,-1.38607,5.97897
6.52274,-1.1441,0.433877,1.01363,-0.776272,6.30651
6.17515,-1.828,-0.213787,1.7379,-0.13996,6.02625
5.90844,-2.27366,0.399949,2.1469,-0.74976,5.69871
6.25674,-1.59621,1.04876,1.42127,-1.38552,5.97519
6.52065,-1.15067,0.433719,1.01306,-0.776181,6.30457
6.16937,-1.83431,-0.212236,1.73903,-0.140252,6.02785
5.90546,-2.27984,0.402801,2.14724,-0.749589,5.69847
6.26426,-1.57847,1.04598,1.42429,-1.38718,5.98542
6.52513,-1.14957,0.417963,1.01315,-0.776492,6.3086
6.16577,-1.84749,-0.207964,1.7387,-0.140754,6.03032
5.9049,-2.27639,0.420048,2.14983,-0.751437,5.70714
6.255,-1.59395,1.04321,1.42373,-1.38673,5.98281
6.521,-1.14887,0.428747,1.01231,-0.776317,6.30615
6.17188,-1.83296,-0.217899,1.73981,-0.140903,6.03226
5.90588,-2.27804,0.396564,2.15122,-0.751315,5.70891
6.26298,-1.57738,1.04595,1.42386,-1.38696,5.98537
6.5244,-1.14777,0.418643,1.01237,-0.776411,6.30835
6.16669,-1.84561,-0.208327,1.74156,-0.141657,6.03746
5.90527,-2.27521,0.418982,2.15305,-0.752209,5.71447
