x1,y1,z1,x2,y2,z2
2.63728,-1.132,-0.291484,0.932384,0.351762,2.52393
2.80127,0.301383,-0.258871,-0.447442,0.305266,2.65413
2.77,0.595824,-0.256243,-0.729115,0.297719,2.62794
2.72954,0.844014,-0.256554,-0.96808,0.289379,2.58375
2.67879,1.09663,-0.255504,-1.21043,0.28277,2.53626
2.97942,1.14835,-0.259111,-1.25943,0.277672,2.83983
3.10593,0.485535,-0.258488,-0.616722,0.297423,2.97068
3.13997,0.167129,-0.272566,-0.301083,0.306697,3.01757
3.10488,-0.833161,-0.221205,0.719106,0.344393,3.01285
3.14376,-1.09914,-0.310163,0.887522,0.35123,3.03026
3.115,-1.33683,-0.115817,1.09075,0.357232,3.01512
3.10197,-1.52861,-0.301427,1.32643,0.365805,2.98264
3.03837,-1.77732,-0.298829,1.56899,0.374995,2.94302
2.97938,-1.95427,-0.327369,1.73813,0.383129,2.89585
3.6291,-1.84548,-0.327167,1.64333,0.375195,3.53757
3.71009,-1.62786,-0.316524,1.43576,0.366002,3.6107
3.82022,-1.34436,-0.306522,1.15508,0.35479,3.71965
3.91154,-0.994895,-0.293453,0.832189,0.34275,3.79319
3.98152,-0.699156,-0.298368,0.527805,0.329199,3.85909
4.04192,-0.359954,-0.285974,0.213634,0.315859,3.89203
4.06573,-0.0130274,-0.279326,-0.108229,0.30325,3.92647
4.09562,0.348517,-0.288996,-0.495342,0.292432,3.9629
4.09821,1.15686,-0.258928,-1.27688,0.275468,3.94403
4.10345,1.41443,-0.203782,-1.51283,0.274852,3.93963
4.06249,1.72077,-0.289547,-1.81895,0.272327,3.91886
4.03054,1.99976,-0.29152,-2.10898,0.265325,3.88157
3.9977,2.25777,-0.280737,-2.36274,0.258009,3.86635
4.63228,2.27091,-0.296917,-2.37291,0.266096,4.47787
4.79816,1.96588,-0.30969,-2.06468,0.274098,4.65247
4.89448,1.65195,-0.294181,-1.77227,0.275209,4.7723
5.01324,1.27709,-0.291129,-1.38983,0.273621,4.8586
5.07863,0.963091,-0.289781,-1.06846,0.27528,4.92105
5.09846,0.531981,-0.285376,-0.673418,0.276245,4.95177
5.13135,0.153202,-0.291149,-0.296914,0.283113,5.00913
5.15481,-0.245003,-0.221873,0.0860097,0.294242,5.03446
5.26449,-1.34615,-0.324752,1.19671,0.332269,5.16407
5.18804,-1.80064,-0.327215,1.62005,0.353832,5.08854
5.1387,-2.21036,-0.354166,2.0139,0.377907,5.06323
5.07283,-2.70637,-0.357424,2.53041,0.406372,5.01167
4.99169,-3.03039,-0.371446,2.84089,0.42438,4.92834
2.08528,0.868083,-0.25272,-0.980226,0.301292,1.93429
2.315,-0.0101555,-0.222017,-0.144575,0.314774,2.21256
2.41727,-0.421325,-0.130965,0.297863,0.325494,2.29088
2.0825,-1.20609,-0.265034,0.99429,0.348956,1.97544
2.18055,1.47332,-0.240214,-1.41211,0.271473,2.01913
2.47463,0.95132,-0.251014,-1.06584,0.29152,2.32166
2.75085,0.329976,-0.255005,-0.45342,0.29613,2.5808
2.79497,-0.0571892,-0.253509,-0.0796657,0.30708,2.65355
2.71874,-0.457222,-0.269698,0.281238,0.320147,2.58183
3.11767,-1.50862,-0.300717,1.29964,0.36319,3.01358
3.17902,-1.20308,-0.304525,1.01971,0.351673,3.06074
3.24588,-0.908107,-0.287932,0.722171,0.3403,3.11055
3.29033,-0.587166,-0.278859,0.408325,0.327663,3.13791
3.29675,-0.221433,-0.280146,0.0763263,0.314383,3.15564
3.27173,0.0388682,-0.207534,-0.228833,0.30333,3.14226
2.9688,1.72501,-0.234742,-1.80499,0.260214,2.81995
2.9958,-0.0830265,-0.264221,-0.0494818,0.306761,2.79626
2.97328,-0.46796,-0.265345,0.291368,0.319781,2.81078
3.77868,-0.660714,-0.287866,0.486235,0.328758,3.65477
3.41925,-1.72924,-0.324683,1.5415,0.373181,3.32594
3.65468,-1.70177,-0.331003,1.50251,0.372158,3.54675
3.77171,-1.42478,-0.319882,1.23033,0.360219,3.65799
3.84124,-1.14121,-0.308765,0.954406,0.346106,3.70244
3.88959,-0.712219,-0.284032,0.568051,0.33246,3.7532
3.9405,-0.440174,-0.297807,0.295344,0.322748,3.77308
3.95126,-0.154004,-0.277418,0.02339,0.310096,3.79325
3.93824,0.1387,-0.285575,-0.280214,0.299552,3.77623
3.88597,0.857082,-0.0518532,-1.02479,0.273527,3.72995
3.82352,1.26679,-0.0810527,-1.37404,0.261536,3.65514
3.55973,2.00638,-0.200291,-2.08919,0.24499,3.40269
4.20432,1.93576,-0.211561,-2.03938,0.242429,4.04209
4.4294,1.26641,-0.158186,-1.36031,0.255873,4.29112
4.60989,0.417798,-0.32032,-0.528086,0.282316,4.47109
4.62124,-0.004524,-0.22936,-0.137628,0.297404,4.49142
4.21454,-1.7685,-0.123499,1.52813,0.370553,4.11672
4.08345,-2.018,-0.273473,1.82691,0.384842,3.93903
4.73619,-1.87984,-0.364109,1.67982,0.377246,4.64477
4.82391,-1.51003,-0.33454,1.32566,0.360845,4.71455
4.88614,-1.18203,-0.32236,1.00103,0.344651,4.77231
4.91615,-0.798629,-0.316756,0.632433,0.326528,4.81756
5.00069,-0.426705,-0.310523,0.276426,0.307911,4.88039
5.10582,-0.0144548,-0.271343,-0.120415,0.290719,4.94626
4.96581,1.6849,-0.263795,-1.77781,0.242644,4.82754
4.86581,2.10808,-0.286287,-2.20388,0.242555,4.71312
