x1,y1,z1,x2,y2,z2
2.79269,0.301442,-0.251639,-0.268813,3.44465,-0.650248
2.77208,0.596217,-0.261103,-0.546859,3.42814,-0.645972
2.72727,0.850543,-0.254245,-0.779996,3.3856,-0.642063
3.04229,0.783426,-0.255987,-0.71331,3.71086,-0.647151
3.10593,0.485535,-0.258488,-0.403974,3.76083,-0.649209
3.09037,-1.5269,-0.317352,1.52578,3.72748,-0.709127
3.04202,-1.77911,-0.299906,1.77184,3.68018,-0.714946
2.97753,-1.95939,-0.324443,1.93556,3.62935,-0.720669
3.63309,-1.84211,-0.327929,1.8516,4.26526,-0.729893
3.71417,-1.63937,-0.309009,1.64109,4.34109,-0.722657
3.81183,-1.34057,-0.303733,1.37776,4.45308,-0.714198
3.9181,-0.99995,-0.302363,1.04199,4.539,-0.707008
3.98565,-0.702461,-0.29323,0.742877,4.61739,-0.701672
4.0231,-0.35422,-0.28665,0.424822,4.66581,-0.689462
4.05296,-0.010914,-0.280773,0.10149,4.70736,-0.6758
4.06585,1.73992,-0.281916,-1.62401,4.73571,-0.65389
4.03797,2.01281,-0.283667,-1.89857,4.70837,-0.656424
4.01056,2.26716,-0.286875,-2.10664,4.6952,-0.65257
4.63915,2.28089,-0.303501,-2.15469,5.30469,-0.669951
4.79816,1.96588,-0.30969,-1.85235,5.46587,-0.669452
4.90071,1.67545,-0.292639,-1.53863,5.57845,-0.680953
5.06205,0.9494,-0.285795,-0.848955,5.69879,-0.66629
5.07426,0.52985,-0.281942,-0.453063,5.72096,-0.668528
5.11827,0.171325,-0.271724,-0.0627101,5.75929,-0.675835
5.13979,-0.552838,-0.307112,0.610852,5.77567,-0.695427
5.18031,-1.80191,-0.321475,1.80001,5.78637,-0.737287
5.14282,-2.20365,-0.37269,2.24332,5.75508,-0.766876
5.07489,-2.70253,-0.36413,2.75404,5.68897,-0.783584
4.99521,-3.03739,-0.381861,3.05249,5.60157,-0.79555
6.16514,-0.197214,-0.323973,0.370035,6.83459,-0.709598
6.24188,0.184808,-0.32138,-0.0663279,6.85602,-0.711386
6.19945,0.655862,-0.328645,-0.53104,6.84126,-0.704688
6.12391,2.25545,-0.342597,-2.10862,6.7972,-0.687526
6.12451,2.68856,-0.335639,-2.52778,6.8256,-0.700006
2.17969,0.481938,-0.250236,-0.426031,2.83053,-0.643933
2.09043,-1.20391,-0.264294,1.18417,2.73569,-0.68258
